PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
BBR16F	CLEARGREEN ECOCURVE FRONT PANEL	262	14061	9002	8105	1241700	1241700	5500	0	558765	1		S	R16F	1	
BBF0730000	AMPM SENSATION THERMO SHOWERSPOT COMPLETE WITH FIXED HEAD & HANDSET	261	20120	59937	54431	7991700	7991700	5200	0	3836016	1		S	F0730000	1	
QV1013RAL	QUINN SLIEVE VSP 1800X433 QV1013RAL	5	17181	15465	14059	2811900	2811900	6250	0	1054462	1		S	QV1013RAL	1	
BBQ1245D	AQUACAB D450 1200 QUATTROCAST DOUBLE BASIN	262	20120	24710	22249	3408300	3408300	5500	0	1533735	1		S	Q1245D	1	
BBA30341500	AMPM SENSATION TOILET ROLL HOLDER	261	20120	5874	5335	783300	783300	5200	0	375984	1		S	A30341500	1	
MCPG2020	PRESS ELBOW 20MM	121	13010	534	471	62900	62900	5500	0	28305	1		S	PG2020	1	1
M84431P1H	MERLYN 8 SERIES INFOLD AND INLINE PANEL - 1000MM DOOR	45	13051	73685	65046	10163500	10163500	5500	0	4573575	1		S	M84431P1H	1	
BRWCL8C	PRISM CISTERN LEVER CHROME PLATED	112	21809	2039	1869	283300	283300	5450	0	128901	1		S	W CL8 C	1	
BAT166JU	JUBILEE 1700X750 BATH	81	11011	17278	15949	2658300	2658300	6000	0	1063320	1		S	BAT166JU	1	
SILICONEC	EVERBUILD SILICON SEALANT CLEAR 300ML	215	16180	0	235	37500	37500	6000	0	15000	1		S	50040352	12	
BRJ34C	JAVA BATH TAPS	102	21809	9360	8580	1300000	1300000	5450	0	591500	1		S	J 3/4 C	1	
BBR18E	CLEARGREEN ECOSQUARE END PANEL	262	14061	4168	3753	575000	575000	5500	0	258750	1		S	R18E	1	
BBR18F	CLEARGREEN ECOSQUARE FRONT PANEL	262	14061	7793	7017	1075000	1075000	5500	0	483750	1		S	R18F	1	
RB1BR	RB1 68MM BROWN 90* BEND	21	61215	262	262	27200	27200	6066	0	10700	1		S	RB1BR	1	
BRPMSNKC	PRISM MONOBLOC SINK MIXER CHROME PLATED	108	21809	14700	13475	2041700	2041700	5450	0	928973	1		S	PM SNK C	1	
M84431P2H	MERLYN 8 SERIES INFOLD AND INLINE PANEL - 1000MM DOOR	45	13051	74481	65749	10273300	10273300	5500	0	4622985	1		S	M84431P2H	1	
MS108241BL	MERLYN 10 SERIES SLIDING DOOR - SMOKED BLACK GLASS LEFT HAND INCLUDING MSTONE TRAY 1200	42	13051	110225	97302	15203500	15203500	5500	0	6841575	1		S	MS108241BL	1	
